Using device: cuda
/export/scratch/aqsa-laiba_cv2proj/cv2_project_sol/Eye-fixation-prediction-main/predict_test.py:77: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_dir, map_location=device)
image-4436.png saved shape: (224, 224) min/max: 128 255
image-4437.png saved shape: (224, 224) min/max: 128 255
image-4438.png saved shape: (224, 224) min/max: 128 255
image-4439.png saved shape: (224, 224) min/max: 128 255
image-4440.png saved shape: (224, 224) min/max: 128 255
image-4441.png saved shape: (224, 224) min/max: 128 255
image-4442.png saved shape: (224, 224) min/max: 128 223
image-4443.png saved shape: (224, 224) min/max: 128 255
image-4444.png saved shape: (224, 224) min/max: 128 255
image-4445.png saved shape: (224, 224) min/max: 128 254
image-4446.png saved shape: (224, 224) min/max: 128 255
image-4447.png saved shape: (224, 224) min/max: 128 255
image-4448.png saved shape: (224, 224) min/max: 128 255
image-4449.png saved shape: (224, 224) min/max: 128 255
image-4450.png saved shape: (224, 224) min/max: 128 255
image-4451.png saved shape: (224, 224) min/max: 128 255
image-4452.png saved shape: (224, 224) min/max: 128 255
image-4453.png saved shape: (224, 224) min/max: 128 255
image-4454.png saved shape: (224, 224) min/max: 128 255
image-4455.png saved shape: (224, 224) min/max: 129 255
image-4456.png saved shape: (224, 224) min/max: 128 255
image-4457.png saved shape: (224, 224) min/max: 128 255
image-4458.png saved shape: (224, 224) min/max: 128 255
image-4459.png saved shape: (224, 224) min/max: 128 255
image-4460.png saved shape: (224, 224) min/max: 128 255
image-4461.png saved shape: (224, 224) min/max: 128 255
image-4462.png saved shape: (224, 224) min/max: 128 255
image-4463.png saved shape: (224, 224) min/max: 132 255
image-4464.png saved shape: (224, 224) min/max: 128 255
image-4465.png saved shape: (224, 224) min/max: 128 255
image-4466.png saved shape: (224, 224) min/max: 128 255
image-4467.png saved shape: (224, 224) min/max: 128 255
image-4468.png saved shape: (224, 224) min/max: 128 255
image-4469.png saved shape: (224, 224) min/max: 128 255
image-4470.png saved shape: (224, 224) min/max: 128 255
image-4471.png saved shape: (224, 224) min/max: 128 255
image-4472.png saved shape: (224, 224) min/max: 128 255
image-4473.png saved shape: (224, 224) min/max: 131 255
image-4474.png saved shape: (224, 224) min/max: 129 255
image-4475.png saved shape: (224, 224) min/max: 128 255
image-4476.png saved shape: (224, 224) min/max: 128 255
image-4477.png saved shape: (224, 224) min/max: 128 255
image-4478.png saved shape: (224, 224) min/max: 128 255
image-4479.png saved shape: (224, 224) min/max: 128 255
image-4480.png saved shape: (224, 224) min/max: 128 255
image-4481.png saved shape: (224, 224) min/max: 128 255
image-4482.png saved shape: (224, 224) min/max: 129 255
image-4483.png saved shape: (224, 224) min/max: 128 255
image-4484.png saved shape: (224, 224) min/max: 129 254
image-4485.png saved shape: (224, 224) min/max: 128 255
image-4486.png saved shape: (224, 224) min/max: 128 255
image-4487.png saved shape: (224, 224) min/max: 128 255
image-4488.png saved shape: (224, 224) min/max: 128 255
image-4489.png saved shape: (224, 224) min/max: 128 255
image-4490.png saved shape: (224, 224) min/max: 128 255
image-4491.png saved shape: (224, 224) min/max: 128 255
image-4492.png saved shape: (224, 224) min/max: 128 255
image-4493.png saved shape: (224, 224) min/max: 128 255
image-4494.png saved shape: (224, 224) min/max: 128 255
image-4495.png saved shape: (224, 224) min/max: 128 255
image-4496.png saved shape: (224, 224) min/max: 128 255
image-4497.png saved shape: (224, 224) min/max: 128 255
image-4498.png saved shape: (224, 224) min/max: 128 255
image-4499.png saved shape: (224, 224) min/max: 128 255
image-4500.png saved shape: (224, 224) min/max: 128 255
image-4501.png saved shape: (224, 224) min/max: 128 255
image-4502.png saved shape: (224, 224) min/max: 128 255
